is_correct,sum_list
True,1929;-2716;-1907;-4472;14164;240;972;-453;-5983;-4121;1005;-3605;-3214;-2678;6170;2287
False,2246;-1638;2804;-1944;-5854;686;-1162;-7835;6874;-58;-4066;-2502;-1380;400;-819;12489
False,1778;-2360;-356;-6368;-2033;-6087;337;15783;-45;2584;-1242;1534;-435;-313;-1810;1574
True,1723;1975;5491;-3968;-1342;-3777;-6392;15330;142;-1457;-2347;-2952;2363;-1438;-1456;-4483
True,166;25624;2365;-5365;20;-3162;-6484;1991;2061;-3091;1803;-3600;-2612;-5966;833;-1416
True,5939;17074;-263;838;-5042;4645;-5094;1246;-491;-2471;-4059;-6607;199;-9183;-136;-6990
False,-916;-3448;-1085;178;-1154;-4946;-1771;-1399;-696;-19;-2274;-4967;13234;12357;3965;-6363
True,-201;-2192;-4289;-195;-793;-2734;-7702;-2413;895;-140;16725;-300;3120;493;1088;-5111
False,4928;-47;4896;17321;3924;3466;3004;7915;-6406;-7196;-4912;-9864;-2199;8577;-8349;-9279
True,-2820;2629;-6238;-5407;-552;-2760;-3218;-2887;-5922;-2855;16669;4261;-571;-1205;422;-3328
False,928;-1816;5728;-102;1506;-9348;1533;16819;3626;-696;1473;450;-4546;-6333;-2209;-3336
False,2825;-1370;-3791;15788;-955;-9145;-6240;2699;-889;-238;-2527;-897;-1125;682;734;3382
False,-191;-2014;-1846;-1814;-2084;-5768;-3726;-3341;15720;3389;6524;196;1477;-4517;-3652;2633
False,-718;16570;-4301;-793;1850;-7851;563;-2706;1072;2374;-1498;1998;359;-2744;-1693;1911
True,14913;2522;10707;3491;1899;4313;9199;2201;-7392;-10493;-7931;-9990;-11966;-6791;2906;-8616
False,14387;-1125;-7604;6673;2340;-885;-97;-6886;2560;-1147;-10186;-7758;-4322;-1504;2470;2977
True,1351;-2501;-2676;-3259;16939;-1822;672;-3225;-6689;-6504;474;-5231;-615;-4703;1637;9328
False,1667;-1506;213;-3285;1482;762;-2599;1450;-4713;-1219;-1801;-1919;-2892;18180;988;1834
True,-2118;5583;15328;-2160;-1127;-706;4445;1115;-882;-5338;-3093;-4252;-2140;-2515;-3348;-7718
True,-3244;-1142;-727;57;-1930;-2061;-6407;12719;2729;4415;-191;-1373;2446;-2524;2720;-6199
False,-574;-2202;-4926;2721;35;13972;666;2326;-3801;-939;-4638;-919;-759;2374;-294;-7547
False,14357;-3742;1714;23;-4910;-6230;-590;-4896;-2585;2403;-2233;2685;505;697;1514;-1086
False,1000;-2036;-4027;2152;-660;-292;-7227;14194;1006;-4691;410;4589;1743;-5751;2446;283
True,2456;-1721;-1472;2892;-870;-1555;-3519;-3939;-2661;-618;14437;-3843;704;2040;722;-2165
True,-3355;319;-1273;-9052;-3412;-1947;1961;-4804;-305;-2401;116;3154;4252;14033;-3444;1681
False,2679;-1121;3413;-3087;-2479;-1534;13804;-4083;-3261;-1219;398;-2994;915;1655;-4697;-3030
False,-5210;1665;530;-3291;-4258;3237;-223;-122;-467;-3926;-2952;2666;-43;2393;14258;1291
True,1128;1047;920;89;-502;-3539;-2235;-1860;-3265;393;4452;-2022;-4729;901;-2973;13195
True,1634;12057;198;229;-5146;-5579;6407;-1710;-6075;4054;-3490;789;9;-397;-1443;-4443
False,-3856;14424;-1959;1966;1460;-1404;-5003;-217;815;-3997;-3096;283;478;-941;114;372
False,-377;-2755;-1451;14373;-3630;-2139;-2268;1048;-6984;-295;-6407;1176;-3565;121;1194;1402
False,-1271;1514;3510;-3146;1513;-829;-5996;835;-2439;-2959;-2265;-1188;-1692;-4399;1946;13672
False,-762;-1610;-6492;1536;-1604;-641;-2813;1753;-7079;3910;-3753;2432;14393;5028;-3650;1923
False,-329;-1434;6460;1801;-3148;451;-2992;-1007;1028;-2082;-863;-632;3315;-2360;-2165;13988
False,-1361;207;308;-4305;3626;-2172;-1688;10894;17866;-6458;-2435;-6605;-2136;565;-6311;-3846
True,4101;-4983;-1534;-9747;-5275;-7582;951;16000;-6229;-4592;2461;2503;-8065;-2749;-376;52
False,101;21704;23804;-3294;1411;-1027;1251;-4590;-6740;-2494;-15695;-6351;-3727;-2623;-5650;-12250
False,1861;2453;23922;-5741;-2642;-3151;8481;8671;-1524;-10438;-6815;-3149;8742;-3389;2756;8659
False,-7001;-1742;1910;-4544;-10222;-5880;-3642;-1397;-2290;519;2654;4625;5898;26790;2681;3673
False,21667;777;-617;-652;-4422;62;3703;-5049;-9197;3582;-1759;1809;1381;5730;5724;-3769
False,16263;2842;-4052;-4138;-5240;-2414;-2042;3897;-4487;-3184;-3112;-5238;-664;-1218;-4541;1803
False,2063;-5734;1712;6384;-3974;2309;-7932;-3737;2339;-3067;-3328;-4301;9122;-3424;22272;-1435
False,22702;-1914;1585;-474;-2720;-6901;-11254;-1677;-3917;-2174;444;-1077;7067;-4505;-1012;-3957
False,-1398;-478;-1878;-7645;11828;30800;1356;372;-2098;-2560;45;1527;-5659;5565;4524;-1103
False,-2158;-4446;-5630;-2402;-8380;21779;2744;-6581;-4479;-4902;-1117;-7048;-6261;-2149;-2395;3094
False,830;-4589;-4483;-7953;26;22864;693;-9657;-3546;-8623;-277;-1187;3450;10396;185;-2005
False,-3444;-4028;-1568;-1758;-661;-5207;-5515;25802;-3679;-6508;11059;-1093;-1814;-3469;-1475;-4143
False,22;-2653;-6549;26785;3990;299;1159;8748;-3920;-4392;-3614;-861;4690;8791;-1109;1478
False,-6620;-1946;-1923;-5454;198;2060;-4523;11077;2055;-7928;3722;-7662;3126;-1602;22157;2478
False,-8076;18216;-267;1774;136;-4840;-6836;-1874;-1705;-2384;-1319;1795;-1174;6565;-3562;-2642
False,1285;-238;-999;-145;1119;1713;2;-441;2099;-5887;-1779;-1026;-330;15657;-1777;-3572
True,10;1138;3538;-2462;-1733;-2375;-4693;14174;1496;4917;350;-2456;3267;-2080;1572;-8106
True,563;16452;-145;-3318;2411;-2106;-3626;4397;-434;-2049;-345;-4934;-777;-5585;1165;-1524
False,2052;-1058;5888;14973;-3187;1075;-3933;1621;-3393;-5370;-761;-2931;-2786;-3618;903;-470
True,-3815;1886;10928;-2645;-3702;-3838;322;-483;-1785;-2347;-1571;541;-418;605;262;-533
True,1571;-2046;-1945;2911;183;-1206;-2863;-1741;-2733;-2904;17524;-2931;381;2305;558;-5416
True,-284;2813;75;-6899;-1100;-2409;1549;-2014;1308;-2276;2345;2993;-5884;17957;-3556;-659
True,-1874;-50;-6930;-2669;713;653;-1363;91;-3195;-1379;11428;-1054;2130;1341;-1752;-2117
True,-2952;6266;1501;-3031;-3539;44;-4224;-980;-3296;1205;11312;2947;689;-2783;-3942;-101
True,-1218;-302;-260;-1354;-1379;-5538;-3159;-1827;-155;2204;3271;-1888;-2756;4365;-3744;16961
True,932;15513;464;-286;-4727;-2928;2880;-1439;-4372;3800;-3088;-2458;3253;-310;-2108;-6443
False,6055;2276;-3141;-1962;13054;-2595;3366;-593;-3892;-1806;-1547;-66;-2700;-3130;1618;-744
True,11561;-617;2209;-361;-1205;-1538;1729;5723;-2553;-4792;-1658;-2297;-4436;-685;-1381;48
True,1399;-493;-199;872;3189;4644;-2731;-6637;-1544;-3343;1623;2323;14683;-5405;-2974;1469
True,1281;-2342;-2725;-3816;16420;-1398;1668;-2054;-3990;-1417;2651;-2799;-2860;-2255;3739;803
False,471;-2458;-3666;-1035;-4136;-896;2372;15460;-1151;2675;-9;-2540;-3635;872;-2167;-499
False,-3319;-26;-1755;-4708;-2150;1849;328;394;1249;-4682;571;15101;338;2985;-6588;-653
False,1320;-2093;1372;891;836;-752;1831;-4219;-813;-2612;-5688;-2106;18694;-3256;4144;208
True,290;16965;1858;-2340;1744;-2152;-5560;4323;2058;-781;-1044;-4615;-2861;-5190;-2124;-687
False,-1208;-1125;3858;15143;-2924;-566;-1196;5267;-3651;-6071;-2265;-4649;-47;-729;1287;-417
True,-5891;-1114;14861;-3064;-2377;-4804;3704;-1346;1150;-3633;-707;-1175;-759;4198;6308;-2395
False,15060;2514;1104;-3651;410;787;-5344;-6286;-1259;470;3047;169;-1302;-657;947;-2512
True,-1124;1691;1770;-6916;-2060;-1913;-142;-1907;2359;122;-789;5628;-4956;15407;-1415;397
False,-2266;-183;-673;-513;-2453;1355;-8154;-2953;3222;-1740;-1007;156;-3135;14899;-4293;-61
True,-2045;-178;-1075;-4228;-575;3752;-5008;-666;-1672;4247;16894;1284;-990;-2653;-1884;-1813
True,-884;-1196;-2522;-3422;-1904;-8693;-3827;-1861;4419;4909;457;-1941;-501;2846;1507;16077
False,-1504;-5647;-3726;-2200;-1235;-1396;-373;16600;-891;-779;4199;-1044;-256;411;-1233;5802
False,-4182;880;-2473;3292;-2587;1355;11617;-2655;-2817;-2574;1410;-769;1861;-2696;769;-1211
True,13912;-188;6226;-560;-2375;-743;2710;-6246;-2460;-4682;-2337;-4541;-625;77;-1758;1582
True,2152;-1602;725;2246;1237;2290;-6312;-5071;-2418;-5404;1757;814;16688;-3470;-2573;2037
True,1650;-3240;-2481;-3537;16892;-154;2153;-3530;-5146;-3208;62;-2419;-4694;-3568;5703;1434
False,609;-899;1762;1734;-1217;-2642;-7326;-1182;3334;-3881;-1899;13405;-163;2965;2347;-1447
False,-1271;-5310;-5599;-412;217;-3545;-613;-3728;-4642;-226;14965;6479;-6226;1867;2737;717
True,-3363;-9;1016;-3056;1400;-2676;-5031;15202;376;2746;-2859;-2991;6350;-1256;941;-4011
True,2195;16600;-2028;-1899;-395;-4383;-5861;5550;-116;-2639;-4122;-6544;8250;-1057;-800;-1686
False,-547;-3004;2278;-79;-5514;700;15843;3391;-6286;3212;-3826;-5827;-3377;-2393;176;858
False,-422;416;-1774;-3287;-57;-3841;13758;15383;-5610;-3830;-3148;-4591;1212;607;358;-1991
True,1578;-2344;-1747;216;1574;-1742;-2920;-4117;-3320;-2400;19098;-456;2020;496;2049;-2612
True,5205;7136;40;-6655;757;-4750;-1015;-3196;-165;-1668;1498;2526;-6530;15184;-5639;-2485
True,-2255;-8578;1511;-5283;5860;3744;-6993;5707;4671;1728;16097;-257;-1003;-3654;1214;1441
False,-4386;-5078;-6108;-1872;-6932;-265;620;57;1379;4970;635;12869;7513;509;-2414;-1722
True,-798;-46;-5299;-3661;459;-6824;-3731;-344;-715;640;1596;886;-4734;1894;-3182;18499
False,18848;-2337;4964;2032;2936;3423;1412;5334;-404;-1862;2035;-4406;-188;-9077;-7384;-4941
False,4589;-1699;-5285;20136;1913;-2914;534;-3642;-3714;-3802;567;1007;-1416;1780;-2875;-1989
False,686;-3353;2929;-4215;-2279;3250;-377;-981;1384;-2252;18211;-4518;3146;-785;-2884;-4009
True,3313;-1858;2156;5301;902;5150;-1465;-6410;-749;-4975;1783;2230;14619;-7404;-2647;-43
True,-1099;-1884;-1213;-3130;17376;10914;-1201;-6310;-6910;-4316;561;-3046;-5767;-4526;1796;1571
False,-460;-394;-3542;-3190;-672;1169;-3895;-1437;-1235;2814;2300;17461;-1538;691;1456;3568
True,-88;3049;14570;-1953;-1975;-164;1593;-3644;-200;-3539;-338;-585;1295;-1736;-258;-8131
True,-3065;691;1506;-1233;-1508;-923;-4507;12119;2097;2079;-356;-1777;3818;-2229;1007;-7025
True,-782;15059;1240;-2365;1766;-3059;-2941;4285;380;-1132;-930;-3224;-2383;-4074;-1322;-877
True,641;19500;-247;-567;-4381;1042;-2538;2360;59;-2248;-3635;-3655;395;-7812;2125;-4202
True,-5426;-7336;17778;-3845;-3459;-2486;1803;-349;2397;1087;318;3926;-1911;2036;184;-992
True,4025;-1309;-1736;646;2037;-2876;-1726;-3239;-2481;-3864;14555;-3515;48;371;-2350;-1455
True,-1425;2309;214;-6505;-462;-1757;1756;-1611;-669;-3087;970;6250;-3711;16723;-4220;241
True,-1783;899;-7271;-3728;295;-45;-2179;-1341;-2998;-5;21236;-2607;70;-1666;-1675;-1200
True,55;-2767;-1010;-4714;-908;938;-1404;-307;2573;1910;16755;3159;-97;-4903;-7674;-523
True,412;1408;141;-5208;587;-4486;-2691;-2164;473;-686;4142;-200;-589;676;-1780;11987
True,1300;16742;1427;-1123;-5034;-2192;1780;-746;-7973;5012;-856;-898;862;878;-1842;-4765
False,-4276;-2618;-579;580;308;-2351;-1931;14286;2463;-2420;6705;-5139;-545;1868;-4465;-3734
True,13579;-2338;6760;571;-1282;-781;806;-2831;-996;-4406;-1337;-1564;-5908;-393;-1544;747
True,124;-829;-2494;1657;568;2447;-3228;-5059;-2470;-4371;3685;791;13130;-2023;-1552;3201
True,3124;-746;569;-1638;15338;-912;2315;-2820;-6500;-3793;2414;-1288;-4493;-3410;4623;912
False,-1629;-2732;12175;-4045;2866;-1741;-4272;-4292;346;-2360;2545;-2894;3411;1811;-1690;4716
True,1183;1794;12388;-3927;-2064;-1042;3120;-2152;-873;-2388;-1634;-147;2080;93;-626;-6516
True,-2083;2876;2411;-485;94;-1176;-2868;11694;752;1728;-1284;-1337;1939;-2837;-1115;-5515
True,1154;17987;2011;-2855;899;-2651;-2789;4325;-360;-3051;336;-6898;657;-6265;-1052;-168
True,1176;11346;2096;710;-3379;2024;-1488;1854;-18;-981;-3554;-4536;1142;-5664;2914;-3322
True,-6444;-5562;13679;-1062;-2629;-2466;3059;-361;895;-1592;2875;4320;-3871;2895;-279;-3651
True,2015;-712;-2137;2185;-578;-2088;-2605;-2708;-3810;-852;13215;-2946;-488;3785;-353;-1743
True,-1535;3156;492;-6014;-1977;-875;2865;-1900;-599;-4016;481;4009;-3686;16314;-3853;-406
True,-311;3225;-5133;-2018;645;-1848;-2092;-748;-1658;-2420;11468;-2117;1026;1173;-320;-1530
True,-2854;-1332;-1255;-3217;-1862;1136;-887;1016;-106;856;16451;345;967;-569;-6316;715
True,-330;573;-1965;-2407;1670;-5523;-472;995;-1842;2847;-691;-1139;-2584;1256;-1453;12087
True,2003;16091;2025;-249;-4066;-3122;266;-389;-6057;3383;-2827;-1986;3739;-1220;-3370;-5074
True,1457;1423;-5874;-942;-4905;2576;398;-646;10897;1461;-1665;-1436;-1246;-1566;1252;-882
True,13930;-1811;4967;416;-572;1644;1153;-4716;-485;-4655;-2688;-1590;-3983;-256;-1875;1161
True,1199;-2450;433;236;207;5307;-1296;-4183;-679;-4618;974;-808;11371;-3649;-1576;1489
True,1539;-1191;-1823;-5093;15651;-1269;3264;-3413;-3849;-2532;863;-707;-3363;-3262;3546;1487
True,-2559;-4022;-520;11883;777;-132;-902;1924;-4137;-484;-4948;-322;-490;-189;2690;1645
False,-6661;2456;-5547;858;103;981;14134;-4504;3747;162;-4687;-3382;-3289;-2487;12276;-1738
True,-1253;1111;4794;-4399;-709;-331;-7349;17012;2440;2191;-529;-2818;4075;-4103;-1560;-6962
False,-1008;-1578;-1473;119;14774;1413;1921;-9524;2029;-6381;-4060;4884;-4176;3320;-1687;2149
False,-921;-1852;-5436;15185;934;677;2196;-1113;-2347;-3666;-220;-4431;-2037;83;7074;-7083
False,14008;714;-890;-3623;-5277;-5215;-986;3656;8121;3010;622;-3202;-2195;-2577;2788;-9110
False,-1210;237;969;895;-2654;-6188;121;-2859;15999;-5228;-699;-2795;1181;910;1852;-3629
False,7792;-3683;-3061;2051;-3801;2977;-1962;-3927;2484;-2258;807;388;18253;-7578;-2928;-6737
False,-1190;-2465;-1725;-5285;-682;15380;3129;-2285;1738;-58;-1508;-3597;-2493;-2128;-482;9712
True,-1744;143;-617;-4543;-525;1003;-3336;1934;852;-1057;16908;2136;464;-3098;-7398;2840
False,-3033;3840;-716;-6088;-6731;2719;-4146;-3403;177;669;19851;9476;-2065;1167;-1631;-325
False,6279;-645;3821;1940;-4076;-4055;15207;-6719;1129;-3463;-730;-3536;338;-2971;-3566;-2740
False,-297;-1268;2542;-90;-2694;-292;-658;-2690;-202;-880;12866;-1421;629;-3293;-1330;-3085
False,-3883;760;1216;-228;-5759;-6;-3019;17136;-2440;-1820;-1076;4837;-4478;-2798;173;-1797
False,-3407;-261;3982;519;-3753;-1686;-228;167;2100;-421;1345;-257;-3475;-4785;17097;-6712
True,7228;-1503;-2554;-5174;15219;7379;-231;-5220;-5111;-2615;-271;-3081;-4590;-4146;1713;998
False,34431;-1271;-1180;-3901;382;-211;2402;2954;-5288;-488;6240;493;-5147;-292;4430;-6636
True,-1303;-785;15924;-4667;-1117;-1323;4461;-1362;-1570;-589;2632;-2144;1013;-1767;542;-7861
True,-1125;1666;2831;-3945;-718;-1463;-6470;13415;2011;2096;1064;-3218;2311;-1806;70;-5646
True,-9;13799;2619;-3848;1719;-355;-3792;4620;211;-2500;1002;-5476;-272;-5781;-236;-2061
True,2311;10344;-373;965;-4351;1185;-1989;1989;532;-1337;-4294;-4274;1703;-5551;1970;-3106
True,-4846;-3876;12296;-2639;-1292;-1608;3990;1333;1796;-1419;720;-970;-2745;1379;48;-2690
True,2286;-1205;-2008;2252;180;-2916;-3896;-4866;-2359;-1825;16097;-2799;2947;577;1328;-2785
True,-1978;2590;1804;-6903;225;-2781;1047;-1767;245;-2833;1574;2995;-4738;15385;-2627;-280
True,-1004;2013;-5811;-2407;966;37;-2004;-612;-4056;-1591;11202;-3206;1111;-33;-1379;503
True,-3234;-1748;-611;-2241;2291;1374;-1630;-1550;632;2644;14672;-167;722;-3969;-3749;-2400
True,-1137;2612;2103;-4391;-1164;-4295;-3298;-1780;-1209;-779;2631;-1183;-2448;1157;-1570;16742
True,2591;13452;1249;2486;-1216;-2197;-356;434;-5195;2748;-2996;-2317;521;2081;-1691;-5256
True,1976;1040;-7374;-481;-5308;1411;-801;-1360;11269;1640;-43;635;-394;-1886;1897;-2213
True,13162;-1569;5911;1385;-4799;890;786;-3802;505;-2800;-3754;-1160;-2980;2396;-3980;2623
True,894;-1469;-880;1502;1961;2672;-4830;-3334;-4575;-3815;2847;-1961;13386;-120;-2237;2455
True,1363;-3205;-1141;-2876;12517;-247;910;-2911;-4924;-2873;2656;-97;-885;-3237;5993;845
True,-2435;-1636;-2272;12492;-657;1205;20;181;-5886;-675;-4564;199;-1118;-1678;1653;1933
True,-4567;-122;47783;3565;-3859;12101;10999;1565;13769;25782;20155;5835;10644;16553;13778;-422
True,-17026;-3243;9707;-9040;-64;-5614;-7957;40519;-10040;6004;299;-3059;-2208;-25491;-8785;-33524
False,7460;7767;7518;33008;18376;13638;21549;18879;-24283;-13297;-29783;-7767;-18353;-20986;-17249;-17533
False,-14248;-20925;-5493;-19730;13355;-4576;4405;-16532;-1129;15552;8715;-11641;-20225;-8792;-14447;-26206
True,-10549;-6542;37939;-6454;-7851;-3304;10360;4314;6139;21132;416;12681;7473;-1294;4652;-11839
True,-6456;-3193;-24679;-4413;16211;-4760;-11852;-883;-17383;-13967;44285;-5856;8319;5064;-4090;-8558
True,-7921;-3114;2393;-12787;-11685;-9383;8620;27;-10709;-21194;-883;13788;-15729;32064;-9255;-4853
False,3675;-2697;-3400;7341;-19078;-8187;-7737;5799;-633;-16957;5493;-9577;-3322;-545;1190;26091
True,-10858;-9407;-449;-14502;2232;11358;-10400;-11157;-12184;-16462;24796;-17887;-9440;-21368;-28198;-9493
True,808;275;-385;-228;165;-11377;-14634;-5193;-11272;-6906;-25465;-25116;-28547;-11760;-19107;29762
True,2388;32837;5242;5352;-14221;-3162;6450;3333;-1810;9047;1104;976;19084;5146;2944;4605
False,4606;-7539;-1768;-18494;-13544;-4519;-10598;1265;-11325;-10601;23552;-7554;-3616;7557;4696;-4456
True,32470;-4323;126;-244;333;7021;2987;-2126;-8260;-32361;-15073;-14928;-31061;-4596;-17819;-12313
True,-8551;-2169;-6504;-716;1514;7014;-10611;-23174;1497;-3531;3495;6309;50303;6045;8890;16503
True,7585;-11331;7770;8115;45730;13392;-3215;-3217;7197;13331;8153;14974;1265;-11703;20858;9966
True,15511;1585;4361;34140;11505;684;-1976;6896;9977;-10109;-6493;-750;2955;2201;1792;2776
True,-3040;2530;12893;-4638;-2105;1214;2300;-3098;107;-1670;1020;-258;1820;-1730;-770;-6067
True,-3170;166;2260;-2742;1284;-774;-6370;13265;1395;4178;381;-2080;1371;-3934;739;-5077
True,1377;15292;1104;-2226;1108;-1805;-3100;4586;484;-2315;-778;-5000;-1090;-6869;-384;-148
True,1746;10695;504;1273;-3437;2448;-1952;1645;579;-1304;-3510;-3207;1740;-5408;2658;-5024
True,-5280;-3829;12968;-4995;-868;-3774;3076;-902;1289;-689;-1140;2788;-1195;1065;1512;-812
True,875;-1762;-3752;1352;3221;-2589;-5094;-3868;-2896;-3732;16805;-2014;894;1180;745;-3193
True,-3030;4321;-464;-7159;-1642;-1963;3428;188;829;-1491;668;2997;-5348;16076;-4499;-749
True,565;2712;-5280;-2394;1077;-1278;-1669;-237;-2350;-1350;10696;-2117;1512;466;-1023;-2074
True,-783;3791;-2266;-4330;-28;4316;-2565;49;-213;-40;13328;289;872;-3431;-5213;-957
True,781;614;373;-1272;-1569;-3908;-2538;-1156;-911;-429;2112;-2546;-2296;1243;-3839;14370
True,-191;15457;1606;-871;-4770;-2072;902;508;-5510;3193;-4431;-1802;2021;1376;-2161;-3109
True,227;1762;-7501;-330;-4604;2043;997;-827;11617;149;-258;-286;-1196;-2125;1462;-1005
True,12454;314;5875;-39;-2953;-1961;1754;-2945;337;-4127;-2821;-2143;-2333;1021;-1643;770
True,4349;709;346;-1145;973;1946;-2642;-6964;-3033;-2973;1153;1461;15683;-674;-796;2390
True,1827;-4209;-703;-2923;15949;-1629;2504;-1701;-4585;-2753;1658;-1452;-3693;-2235;3930;1878
True,-2595;-3841;285;11298;453;-824;778;2137;-2339;-1486;-4935;-615;-554;-585;1777;1737
True,-1605;-1577;12500;117;-164;238;3111;-596;-762;-2805;1776;-2855;1242;-729;-304;-5582
True,-1840;452;3521;-3007;-1359;-3458;-5304;14599;3041;4258;-1493;-3843;5967;-2214;446;-7201
True,1078;15785;1081;-3271;2421;-2659;-5379;4957;1112;-685;-1291;-4798;-748;-5360;-412;-1770
True,999;9012;780;1412;-2926;813;-1542;1358;1734;-1749;-2472;-2659;1131;-5006;2743;-3107
True,-8022;-7437;14818;-1435;-2196;-2128;2252;2665;427;-154;-190;4848;-3634;3500;1203;-3933
True,761;-43;-560;3160;501;-2743;-4573;-3536;-5101;-3715;16700;-1509;1433;1968;-550;-2792
True,-2602;1453;500;-6195;10;-1474;446;-1725;-577;-3485;2191;4327;-4162;15105;-1613;-91
True,327;896;-4916;-1373;516;-1087;-1314;-790;-1594;-815;9218;-1041;1953;-242;-2432;1045
True,-3280;1275;1066;-4174;-1413;1757;-55;-137;-677;-112;10847;2041;84;-4268;-3124;2369
True,-1376;947;-179;-2292;443;-3662;-1653;-1446;-28;826;1383;-3230;-3052;1585;-1818;13987
